home_avg_pts_for,home_avg_pts_against,home_last5_wins,home_home_wins_pct,home_away_wins_pct,home_avg_margin,away_avg_pts_for,away_avg_pts_against,away_last5_wins,away_home_wins_pct,away_away_wins_pct,away_avg_margin,home_court_flag,implied_total,efficiency_diff,target_total,target_margin,game_id,date,season,home_team_id,away_team_id
72.33333333333333,72.0,1,0.6666666666666666,0.0,0.3333333333333333,75.83333333333333,74.66666666666667,3,1.0,0.0,1.1666666666666667,1,148.16666666666666,-0.8333333333333286,146,4,401827514,2025-11-23,2026,2182,295
71.0,66.0,4,1.0,0.6666666666666666,5.0,81.2,74.0,3,0.75,0.0,7.2,1,152.2,-2.200000000000003,165,25,401818371,2025-11-23,2026,171,2344
77.2,70.4,3,1.0,0.3333333333333333,6.8,83.0,64.8,3,1.0,0.3333333333333333,18.2,1,160.2,-11.400000000000006,136,52,401813258,2025-11-23,2026,2287,324
80.16666666666667,77.5,2,0.3333333333333333,0.3333333333333333,2.6666666666666665,83.0,64.8,3,1.0,0.3333333333333333,18.2,0,163.16666666666669,-15.533333333333331,133,-17,401829457,2025-11-23,2026,155,324
77.4,63.8,3,1.0,0.0,13.6,83.6,67.6,4,1.0,0.0,16.0,0,161.0,-2.3999999999999915,132,10,401817436,2025-11-24,2026,2305,87
87.0,81.6,4,1.0,0.6666666666666666,5.4,71.0,64.0,3,1.0,0.25,7.0,1,158.0,-1.5999999999999943,129,9,401820212,2025-11-24,2026,276,2385
64.66666666666667,74.5,1,0.5,0.0,-9.833333333333334,77.0,77.14285714285714,2,0.25,0.3333333333333333,-0.14285714285714285,1,141.66666666666669,-9.69047619047619,147,-9,401829456,2025-11-24,2026,2710,155
68.4,61.0,3,1.0,0.3333333333333333,7.4,80.8,67.8,4,0.75,1.0,13.0,0,149.2,-5.599999999999994,117,7,401809312,2025-11-24,2026,119,227
90.0,61.8,5,1.0,0.5,28.2,74.2,64.6,4,0.8,0.5,9.6,0,164.2,18.599999999999994,145,25,401827435,2025-11-24,2026,2633,164
85.8,71.4,3,1.0,0.3333333333333333,14.4,88.83333333333333,71.33333333333333,3,0.8,0.0,17.5,0,174.63333333333333,-3.1000000000000085,154,-8,401827731,2025-11-24,2026,79,5
92.85714285714286,85.14285714285714,2,1.0,0.5,7.714285714285714,82.0,78.0,3,0.5,1.0,4.0,0,174.85714285714286,3.7142857142857224,143,-7,401829680,2025-11-24,2026,2653,2649
79.6,71.0,3,0.75,0.0,8.6,87.16666666666667,75.83333333333333,3,1.0,0.5,11.333333333333334,0,166.76666666666665,-2.7333333333333485,137,-11,401827506,2025-11-24,2026,2638,2729
60.6,102.8,0,0.5,0.0,-42.2,85.0,79.0,2,1.0,0.0,6.0,1,145.6,-48.199999999999996,142,-18,401827067,2025-11-24,2026,2296,2737
74.6,71.0,3,1.0,0.3333333333333333,3.6,80.6,63.6,4,1.0,0.0,17.0,0,155.2,-13.399999999999999,144,28,401824064,2025-11-24,2026,279,2619
72.83333333333333,75.5,2,0.6,0.0,-2.6666666666666665,78.83333333333333,74.16666666666667,3,0.6,0.0,4.666666666666667,0,151.66666666666666,-7.333333333333329,138,-8,401831211,2025-11-24,2026,204,113
63.833333333333336,80.33333333333333,1,0.5,0.16666666666666666,-16.5,70.4,64.4,3,0.6666666666666666,0.5,6.0,1,134.23333333333335,-22.499999999999993,142,-4,401812665,2025-11-24,2026,107,2561
73.33333333333333,68.16666666666667,3,0.5,0.5,5.166666666666667,94.6,72.6,4,1.0,0.0,22.0,0,167.93333333333334,-16.833333333333343,156,-38,401831205,2025-11-24,2026,339,2006
72.83333333333333,66.16666666666667,4,1.0,0.3333333333333333,6.666666666666667,89.4,84.0,3,1.0,0.3333333333333333,5.4,1,162.23333333333335,1.2666666666666515,141,-35,401826734,2025-11-24,2026,2026,2210
82.0,84.0,2,1.0,0.25,-2.0,78.2,72.4,2,1.0,0.25,5.8,0,160.2,-7.799999999999997,133,-5,401823344,2025-11-24,2026,2065,294
